link,brand,name,category,weight_value,weight_unit,current_price,original_price
/p/lezecky-ocun-advancer-lu/#37-5-modra-seda,Ocún,Advancer Lu 2024,Lezečky,420.0,g,1899.0,2190.0
/p/lezecky-ocun-sigma/#37-5-modra-oranzova,Ocún,Sigma,Lezečky,,,2749.0,3590.0
/p/damske-lezecky-evolv-shaman-lv/#37-5-cervena-modra,Evolv,Shaman LV,Dámské lezečky,,,3825.0,4250.0
/p/damske-lezecky-evolv-zenist-lv/#37-5-cerna-bila,Evolv,Zenist LV,Dámské lezečky,520.0,g,3555.0,3950.0
/p/lezecky-la-sportiva-tc-pro/#38-5-zelena,La Sportiva,TC Pro,Lezečky,550.0,g,3869.0,4399.0
/p/lezecky-eb-climbing-guardian/#35-5-cerna-modra,EB Climbing,Guardian,Lezečky,,,2609.0,2899.0
/p/lezecky-evolv-zenist-pro/#39-5-cerna-bila,Evolv,Zenist Pro,Lezečky,290.0,g,4050.0,4500.0
/p/lezecky-eb-climbing-nebula-3-0/#35-5-cerna-modra,EB Climbing,Nebula 3.0,Lezečky,430.0,g,3059.0,3399.0
/p/lezecky-evolv-zenist-pro-lv/#37-5-cerna-bila,Evolv,Zenist Pro LV,Lezečky,290.0,g,4050.0,4500.0
/p/lezecky-so-ill-street-lv/#36-5-modra,So iLL,Street LV,Lezečky,420.0,g,3849.0,3850.0
/p/lezecky-ocun-ozone/#37-5-cervena,Ocún,Ozone,Lezečky,470.0,g,2629.0,3290.0
/p/lezecky-ocun-nitro/#35-modra,Ocún,Fury,Lezečky,420.0,g,2839.0,3490.0
/p/lezecky-ocun-advancer-qc/#37-5-modra-seda,Ocún,Advancer Qc 2024,Lezečky,438.0,g,1919.0,2290.0
/p/lezecky-la-sportiva-tarantulace/#35-5-tmave-zelena,La Sportiva,Tarantulace,Lezečky,540.0,g,2039.0,2299.0
/p/lezecky-ocun-striker-lu/#37-5-ruzova-cerna,Ocún,Striker Lu,Lezečky,409.0,g,1669.0,1990.0
/p/lezecky-ocun-havoc/#37-5-cerna,Ocún,Havoc,Lezečky,432.0,g,2279.0,2790.0
